building_gnd,building_name,source,painting_title,creator,painting_url,url_valid,url_status
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration der Ordenskapelle – Deckendekoration der Ordenskapelle – Cherub mit Bibel,"Brilli, Giovanni",https://www.bildindex.de/document/obj20025606,False,DEAD LINK
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration der Ordenskapelle – Deckendekoration der Ordenskapelle – Cherubim,"Brilli, Giovanni",https://www.bildindex.de/document/obj20025608,False,DEAD LINK
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration des Porzellanzimmers,"Eberhard Ludwig (Württemberg, Herzog)",https://www.bildindex.de/document/obj20025613,True,valid
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration des Porzellanzimmers – Drolerien und Grotesken,"Colombo, Luca Antonio",https://www.bildindex.de/document/obj20025614,False,DEAD LINK
4210422-1,"Ludwigsburg, Residenzschloss",Bildindex,Innendekoration des Porzellanzimmers – Drolerien und Grotesken – Zechendes Pärchen,"Eberhard Ludwig (Württemberg, Herzog)",https://www.bildindex.de/document/obj20025615,False,DEAD LINK
4210422-1,"Ludwigsburg, Residenzschloss",CBDD,"Ludwigsburg, Residenzschloss",,https://www.deckenmalerei.eu/79f49a02-2f96-4a7e-8f6d-4c49257ae5d6,True,valid
4242293-0,"Weikersheim, Schloss",Bildindex,Gärtnerhaus im weikersheimer Schlossgarten,"Hohenlohe-Weikersheim, Carl Ludwig von (Graf)",https://www.bildindex.de/document/obj20338370,True,valid
4242293-0,"Weikersheim, Schloss",Bildindex,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament,"Schmidt, Gerhardt",https://www.bildindex.de/document/obj20338383,True,valid
4242293-0,"Weikersheim, Schloss",Bildindex,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Geburt Christi,"Schmidt, Gerhardt",https://www.bildindex.de/document/obj20338384,False,DEAD LINK
4242293-0,"Weikersheim, Schloss",Bildindex,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Jüngstes Gericht,"Schmidt, Gerhardt",https://www.bildindex.de/document/obj20338385,False,DEAD LINK
4242293-0,"Weikersheim, Schloss",Bildindex,Emporenbrüstung mit Szenen aus dem Alten und dem Neuen Testament – Jonas wird vom Wal ausgespien,"Schmidt, Gerhardt",https://www.bildindex.de/document/obj20338386,False,DEAD LINK
4242293-0,"Weikersheim, Schloss",CBDD,"Weikersheim, Schloss",,https://www.deckenmalerei.eu/d3d6288e-9f10-4f25-bf26-8eb724401362,True,valid
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Trompetergang,"Schrader, Heinrich",https://www.bildindex.de/document/obj20249542,True,valid
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Balustrade,"Robin, Arent",https://www.bildindex.de/document/obj20249543,False,DEAD LINK
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Das Jüngste Gericht,"Ernst (Holstein-Schaumburg, Graf)",https://www.bildindex.de/document/obj20249567,True,valid
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Herkules am Scheideweg,,https://www.bildindex.de/document/obj20249571,True,valid
4690058-5,"Bückeburg, Residenzschloss",Bildindex,Innendekoration des großen boisierten Zimmers,"Albrecht Wolfgang (Schaumburg-Lippe, Graf)",https://www.bildindex.de/document/obj20249573,True,valid
4690058-5,"Bückeburg, Residenzschloss",CBDD,"Bückeburg, Residenzschloss",,https://www.deckenmalerei.eu/9917ae60-5daa-42cb-a2b0-bd14e8252d63,True,valid
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Ankunft des Odysseus auf der Insel der Calypso,"Wink, Christian",https://www.bildindex.de/document/obj20186299,True,valid
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Allegorie des Sommers,"Amigoni, Jacopo",https://www.bildindex.de/document/obj20186300,True,valid
4126168-9,"Oberschleißheim, Neues Schloss Schleißheim",Bildindex,Allegorie der Einigkeit,"Amigoni, Jacopo",https://www.bildindex.de/document/obj20186301,True,valid
