gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/135802210,"Retti, Donato Riccardo",1,33
https://d-nb.info/gnd/123227976,"Hutten, Johann Philipp Friedrich",1,3
https://d-nb.info/gnd/18941961X,"Brachum, Laurenz von (1554)",1,9
https://d-nb.info/gnd/118690485,"Georg (Hannover, König, 5)",1,1
https://d-nb.info/gnd/116678909,"Rudolf August (Braunschweig-Wolfenbüttel, Herzog)",1,25
https://d-nb.info/gnd/13018473X,"Greiner, Anton",1,2
https://d-nb.info/gnd/123211492,"Bocksberger, Hans (der Ältere)",1,2
https://d-nb.info/gnd/137730039,"Keller, Johann Michael (1687)",1,3
https://d-nb.info/gnd/122560779,"Sebastiani, Johann Christoph",1,25
https://d-nb.info/gnd/1059890585,"Vater, Gottfried Samuel",1,4
https://d-nb.info/gnd/11859382X,"Philipp (Hessen, Landgraf, 1, der Großmütige)",1,5
https://d-nb.info/gnd/129216038,"Karl (Burgau, Markgraf)",1,1
https://d-nb.info/gnd/128681675,"Baerna, Giovanni",1,5
https://d-nb.info/gnd/116538236,"Gemmingen, Maria Anna Margaretha von",1,15
https://d-nb.info/gnd/11909990X,"Joseph Clemens (Köln, Erzbischof)",1,1
https://d-nb.info/gnd/118557556,"Joachim (Brandenburg, Kurfürst, 2, Hektor)",1,1
https://d-nb.info/gnd/128496088,"Tagliati, Carlo",1,19
https://d-nb.info/gnd/1034941445,"Langwagen, Christian Gottlieb",1,5
https://d-nb.info/gnd/119063972,"Mutschele, Joseph Bonaventura",1,18
https://d-nb.info/gnd/118539337,"Gilly, David",1,31
https://d-nb.info/gnd/129368245,"Volpini, Joseph",1,5
https://d-nb.info/gnd/129310298,"Jehle, Jakob",1,2
https://d-nb.info/gnd/1055720529,"Leygebe, Paul Carl",1,1
https://d-nb.info/gnd/118530887,"Ernst (Sachsen-Gotha, Herzog, 1)",1,8
https://d-nb.info/gnd/118632914,"Wilhelm (Hessen-Kassel, Landgraf, 8)",1,3
https://d-nb.info/gnd/102109079,"Franz Josias (Sachsen-Coburg-Saalfeld, Herzog)",1,10
https://d-nb.info/gnd/121435601,"Albrecht (Schwarzburg-Rudolstadt, Graf, 7)",1,6
https://d-nb.info/gnd/1013801768,"Fürstenberg, Johann Adolf von",1,2
https://d-nb.info/gnd/119476231,"Schrottenberg, Wolf Philipp von",1,20
https://d-nb.info/gnd/123995442,"Eberhard (Hohenlohe-Waldenburg, Graf)",1,20
https://d-nb.info/gnd/139990666,"Räntz, Joh. Lorenz Wilhelm",1,8
https://d-nb.info/gnd/118522582,"Cranach, Lucas (der Ältere)",1,319
https://d-nb.info/gnd/11891538X,"Holtzbecker, Hans Simon",1,1
https://d-nb.info/gnd/128889268,"Anderson, Johann",1,1
