gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/118751522,"Sophie (Hannover, Kurfürstin)",4,22
https://d-nb.info/gnd/124253385,"Studnitz, Hans Adam von",4,10
https://d-nb.info/gnd/121665259,"Gessinger, Christoph",4,18
https://d-nb.info/gnd/10418342X,"Ludwig Günther II. (Schwarzburg-Rudolstadt, Fürst)",4,6
https://d-nb.info/gnd/119192349,"Dientzenhofer, Justus Heinrich",4,13
https://d-nb.info/gnd/118634224,"Clemens August (Köln, Erzbischof, 1)",39,73
https://d-nb.info/gnd/118560050,"Karl (Hessen-Kassel, Landgraf <1654>)",38,24
https://d-nb.info/gnd/118560158,"Karl Eugen (Württemberg, Herzog)",37,160
https://d-nb.info/gnd/118503472,"Anton Ulrich (Braunschweig-Wolfenbüttel, Herzog)",37,32
https://d-nb.info/gnd/129271330,"Wolcker, Johann Michael",35,1
https://d-nb.info/gnd/118535730,"Friedrich (Preußen, König, 1)",35,101
https://d-nb.info/gnd/1151054860,"Fletscher, David von",35,7
https://d-nb.info/gnd/104175931,"Ernst August (Sachsen-Weimar, Herzog)",35,2
https://d-nb.info/gnd/11869362X,"Friedrich Wilhelm (Preußen, König, 2)",35,20
https://d-nb.info/gnd/118613871,"Sibylla Augusta <Baden-Baden, Markgräfin>",33,4
https://d-nb.info/gnd/104183365,"Schwarzburg-Rudolstadt, Johann Friedrich (Fürst)",33,42
https://d-nb.info/gnd/118505084,"August (Sachsen, Kurfürst, 1, der Starke)",32,3
https://d-nb.info/gnd/100029752,"Johann Georg (Sachsen, Kurfürst, 1)",30,15
https://d-nb.info/gnd/119098652,"Erich (Braunschweig-Calenberg, Herzog, 2)",3,18
https://d-nb.info/gnd/136300952,"Zorn von Plobsheim, Wolf Christoph",3,3
https://d-nb.info/gnd/118767135,"Werner, Joseph (2)",3,1
https://d-nb.info/gnd/118535994,"Friedrich Wilhelm (Preußen, König, 4)",3,32
https://d-nb.info/gnd/132479222,"Marschalk von Ostheim, Christoph",3,1
https://d-nb.info/gnd/105118102X,"Zick, Gustav",3,1
https://d-nb.info/gnd/1139464094,"Albuccio, Giuseppe Antonio",3,6
https://d-nb.info/gnd/104183349,"Schwarzburg-Sondershausen, Günther (Fürst, 1)",3,1
https://d-nb.info/gnd/1046882066,"Pozzi, Carlo Maria",3,15
https://d-nb.info/gnd/18945802X,"Delarocque, Stephan Laurent",3,1
